cod_ti,nome_ti,pop_res_2010,pop_idg_2010,pop_res_2022,pop_idg_2022
50378,Fazenda Bahiana,72,71,79,79
50787,Fazenda Boa Vista - MG (1),,,113,107
5827,Fazenda Canto,616,613,755,699
50766,Fazenda Cristo Rei (1),,,249,170
5606,Fazenda Guarani,246,244,476,463
50801,Fazenda Jenipapeiro (1),,,38,30
50678,Fazenda Remanso,0,0,58,46
50802,Fazenda Sempre Verde (1),,,21,15
50676,Fazenda Sítio,17,,89,86
6807,Figueiras,754,663,2,
50028,Fortaleza do Castanho,153,147,47,47
50029,Fortaleza do Patauá,32,32,42,38
6327,Fulni-ô,23882,4463,26300,5627
5541,Funil,361,361,533,530
6858,Galibi,124,124,86,
8079,Gavião,27,27,84,83
3875,Geralda Toco Preto,163,160,184,150
5860,Geripancó,633,632,115,112
7730,Governador,1058,1049,1360,1352
7137,Guaimbé,444,443,427,426
8087,Guajahã,59,55,8,
50707,Guanabara (1),,,560,391
5517,Guarani Araponga,19,,26,26
50141,Guarani Barra do Ouro,24,,15,
50115,Guarani da Barragem,599,599,418,365
50142,Guarani de Águas Brancas,0,0,,
50634,Guarani de Araçaí,305,253,336,
5525,Guarani de Bracuí,298,298,339,339
50116,Guarani do Aguapeu,95,95,171,171
50806,Guarani do Ribeirão Silveira (1),,,318,318
6386,Guarani Votouro,43,43,47,46
7650,Guarita,6001,5996,6441,6221
6440,Guasuti,533,533,719,668
6289,Guató,152,148,139,134
50648,Guyraroká,599,525,164,87
50670,Hãm Yîxux,142,,164,164
8265,Hi Merimã,0,0,,
9660,Ibirama,2411,1776,948,868
50726,Ibirama-La Klãnô (1),,,1569,505
50379,Ibotirama,430,428,385,367
10537,Icatu,139,138,156,142
7978,Igarapé Capana,85,85,50,46
9385,Igarapé do Caucho,395,386,852,850
8745,Igarapé Grande,26,26,71,71
7609,Igarapé Lage,614,614,1353,1348
7579,Igarapé Lourdes,918,918,1192,1177
14788,Igarapé Ribeirão,210,210,393,392
50123,Ilha da Cotinga,113,101,63,57
8125,Ilha do Camaleão,432,385,214,213
50804,Ilhas da Tapera/São Félix/Porto (1),,,137,136
5711,Imbiriba,397,395,721,521
8788,Inauini/Teuini,272,246,202,148
50100,Inawebohona,230,226,388,317
7676,Inhacorá,1044,1044,1234,1234
8796,Ipixuna,64,64,144,142
3239,Irantxe,407,389,355,355
50727,Irapuá (1),,,,
8133,Itaitinga,4,,,
39002,Itaóca,89,89,144,138
8478,Itixi Mitari,354,311,762,683
5380,Ivai,1687,1687,1886,1886
6963,Jabuti,307,307,463,450
6955,Jacamim,1518,1518,1206,1174
6297,Jacaré de São Domingos,448,438,456,445
43006,Jaguapiré,931,931,1842,1835
43005,Jaguari,321,321,339,339
50011,Jaminaua/Envira,77,77,213,213
50010,Jaminawa Arara do Rio Bagé,195,195,225,223
50013,Jaminawa do Igarapé Preto,173,171,215,189
6750,Japuira,357,357,461,461
8141,Jaquiri,82,82,61,61
10480,Jaraguá,98,98,92,78
50728,Jaraguá (1),,,574,399
6475,Jarara,287,287,316,316
8168,Jarawara/Jamamadi/Kanamati,532,527,312,302
7471,Jarudore,540,413,466,72
50643,Jatayvari (1),,,376,313
8150,Jatuarana,0,0,41,40
9016,Juininha,75,70,108,102
8834,Juma,0,0,13,
7315,Jumina,122,122,15,
50789,Jurubaxi-téa (1),,,672,656
50758,Juruna do Km 17 (1),,,125,108
3328,Kadiwéu,1576,1527,1311,1231
7684,Kaingang de Iraí,706,671,645,645
6335,Kambiwá,3909,3885,2980,2931
50012,Kampa do Igarapé Primavera,26,26,48,
9555,Kampa do Rio Amônia,414,414,877,867
9563,Kampa e Isolados do Rio Envira,71,71,240,240
8850,Kanamari do Rio Juruá,857,806,1143,1093
50102,Kanela,1865,1864,2552,2547
50380,Kantaruré,289,289,363,360
6343,Kapinawá,1461,1443,1423,1413
50364,Karajá de Aruanã I,106,105,141,106
50185,Karajá de Aruanã II,0,0,,
50365,Karajá de Aruanã III,58,55,76,62
9920,Karajá Santana do Araguaia,33,32,36,20
5878,Karapotó,399,392,328,320
3190,Kararaô,59,59,93,87
7552,Karipuna,31,31,42,40
50807,Kariri de Serra Grande (1),,,164,114
5851,Kariri-Xocó,2019,1949,1774,1702
50773,Kariri-Xocó (1),,,708,558
7544,Karitiana,270,269,232,229
9431,Katukina/Kaxinawá,1260,1259,1777,1679
50655,Kawahiva do Rio Pardo (1),,,,
8567,Kaxarari,412,406,532,521
9580,Kaxinawá Ashaninka do Rio Breu,503,503,712,712
9571,Kaxinawá Colônia Vinte e Sete,114,114,91,91
5009,Kaxinawá da Praia do Carapanã,573,571,805,804
50014,Kaxinawá do Baixo Rio Jordão,172,172,554,554
9458,Kaxinawá do Rio Humaitá,331,331,484,476
9393,Kaxinawá do Rio Jordão,1471,1471,2220,2220
9440,Kaxinawá Nova Olinda,417,406,477,468
50015,Kaxinawá Seringal Independência,209,209,390,390
50765,Kaxuyana-Tunayana (1),,,754,749
3301,Kayabi,528,517,1229,1189
9792,Kayapó,4166,4058,6365,5455
35000,Kiriri,2309,2277,2544,2539
9830,Koatinemo,139,139,296,280
50639,Krahó-Kanela,741,580,119,104
3220,Kraolandia,2555,2554,3691,3672
5592,Krenak,266,257,654,519
50658,Krenrehé,133,41,20,14
50774,Krenyê (1),,,99,83
7803,Krikati,1700,1517,1670,1278
10510,Krukutu,254,254,155,155
8184,Kulina do Médio Juruá,2469,2458,2857,2814
9407,Kulina do Rio Envira,166,166,294,294
9598,Kulina Igarapé do Pau,277,270,124,124
50037,Kumaru do Lago Ualá,236,226,358,358
5959,Kuruáya,172,165,301,281
50002,Kwazá do Rio São Pedro,28,,68,63
8206,Lago Aiapua,638,623,574,371
50038,Lago Capanã,197,197,61,61
8214,Lago do Beruri,26,26,181,175
50341,Lago do Correio,42,42,63,47
50708,Lago do Limão (1),,,115,94
50609,Lago do Marinheiro,442,408,158,139
50041,Lago Jauari,187,187,341,327
3824,Lagoa Comprida,808,808,1334,1298
50187,Lagoa dos Brincos,0,0,,
50661,Lagoa Encantada (1),,,382,340
7277,Lalima,1317,1317,1384,1322
5312,Laranjinha,200,200,227,221
50324,Las Casas,284,284,465,458
50042,Lauro Sodré,855,582,1150,1149
7692,Ligeiro,1514,1514,1100,1097
7242,Limão Verde,1170,1164,1133,1127
8230,Macarrão,609,609,1168,979
9954,Mãe Maria,918,896,1302,1110
9725,Malacacheta,776,774,1169,1156
9415,Mamoadate,776,763,1333,1330
6971,Mangueira,80,80,119,113
5304,Mangueirinha,1475,1475,2034,1994
6980,Manoa/Pium,2009,1999,2720,2695
50697,Manoki (1),,,99,
50043,Mapari,29,21,123,74
8249,Maraã Urubaxi,10,,42,42
50714,Maracaxi (1),,,53,46
50044,Maraitá,160,160,299,299
50188,Maraiwatsede,2427,1945,1090,1084
8257,Marajai,713,699,1007,865
5091,Maranduba,24,,34,22
7463,Marechal Rondon,549,548,1043,1042
5398,Marrecas,551,551,497,497
5746,Massacara,768,766,1033,1023
50003,Massaco,0,0,,
5835,Mata da Cafurna,395,391,104,100
5738,Mata Medonha,874,194,250,244
50046,Matintin,722,513,483,483
50352,Mawetek,151,151,369,369
50112,Maxacali,1238,1238,1877,1877
50130,Mbiguaçu,114,114,100,100
50047,Médio Rio Negro I,2016,2013,3209,3207
50048,Médio Rio Negro II,1367,1367,739,739
5894,Menkragnoti,1588,1388,1383,1383
6823,Menkü,115,115,147,146
8931,Meria,55,55,130,116
3280,Merure,657,657,811,805
50049,Miguel/Josefa,856,455,713,709
8273,Miratu,115,115,270,270
50144,Monte Caseros,601,597,727,720
50637,Morro Alto (1),,,150,118
7781,Morro Branco,587,587,978,966
50696,Morro da Palha (1),,,103,103
50635,Morro dos Cavalos,248,230,343,212
50088,Moskow,559,559,853,839
50803,Muã Mimatxi (Fazenda Modelo Diniz) (1),,,30,29
50669,Mundo Verde/Cachoeirinha,4,,33,33
9881,Munduruku,4566,4498,9282,9257
50712,Munduruku-Taquara (1),,,253,213
50089,Muriru,155,154,214,214
50704,Murutinga/Tracaja (1),,,1675,1495
1341,Nambikwara,486,476,614,614
50166,Ñande Ru Marangatu,1067,1059,1349,1343
8290,Natal/Felicidade,119,118,223,222
9989,Nhamundá/Mapuera,1965,1961,2009,2004
7234,Nioaque,1295,1288,1462,1430
50145,Nonoai/Rio da Várzea,553,548,312,309
50673,Nossa Senhora de Fátima,0,0,14,
50051,Nova Esperança do Rio Jandiatuba,545,504,171,7
50667,Nova Jacundá,112,110,69,66
8974,Nove de Janeiro,345,338,275,257
9474,Nukini,420,420,592,574
50168,Ofayé-Xavante,71,71,46,
50735,Ofayé-Xavante (1),,,,
6998,Ouro,180,179,291,290
7587,Pacaas Novas,1322,1321,1909,1895
50146,Pacheca,54,54,14,
7900,Padre,19,,39,38
9679,Palmas,765,765,773,764
6491,Panambizinho,306,306,381,381
50094,Panará,479,478,555,555
50381,Pankararé,167,163,273,253
7102,Pankararu,5505,5365,7345,7293
9784,Paquiçamba,65,64,248,222
50736,Paquiçamba (1),,,62,34
3336,Parabubure,8578,8392,7610,7608
8311,Paracuhuba,137,134,197,197
3204,Parakanã,840,840,1331,1325
50054,Paraná do Arauató,53,47,50,41
8320,Parana do Boa Boa,359,344,358,355
50055,Parana do Paricá,26,26,26,26
50114,Parati-Mirim,133,,174,174
