cidade,Total_total,Total_cor_ou_raca,Total_se_considera,Total_nao_se_declara,EmTI_total,EmTI_cor_ou_raca,EmTI_se_considera,EmTI_nao_se_declara,Pop_total,Pop_cor_ou_raca,Pop_se_considera,Pop_nao_se_declara,Pop_em_TI_total,Pop_em_TI_cor_ou_raca,Pop_em_TI_se_considera,Pop_em_TI_nao_se_declara
Salitre,15,15,0,0,0,0,0,0,16633,15,0,16618,0,0,0,0
Santana do Acaraú,121,27,94,0,0,0,0,0,30628,27,94,30507,0,0,0,0
Santana do Cariri,5,5,0,0,0,0,0,0,16954,5,0,16949,0,0,0,0
Santa Quitéria,50,49,1,0,0,0,0,0,40183,49,1,40133,0,0,0,0
São Benedito,285,265,20,0,0,0,0,0,47640,265,20,47355,0,0,0,0
São Gonçalo do Amarante,109,104,5,0,0,0,0,0,54021,104,5,53912,0,0,0,0
São João do Jaguaribe,0,0,0,0,0,0,0,0,5855,0,0,5855,0,0,0,0
São Luís do Curu,6,6,0,0,0,0,0,0,10822,6,0,10816,0,0,0,0
Senador Pompeu,5,5,0,0,0,0,0,0,24266,5,0,24261,0,0,0,0
Senador Sá,2,2,0,0,0,0,0,0,7262,2,0,7260,0,0,0,0
Sobral,114,114,0,0,0,0,0,0,203023,114,0,202909,0,0,0,0
Solonópole,3,3,0,0,0,0,0,0,18179,3,0,18176,0,0,0,0
Tabuleiro do Norte,7,7,0,0,0,0,0,0,30652,7,0,30645,0,0,0,0
Tamboril,584,579,5,0,0,0,0,0,24815,579,5,24231,0,0,0,0
Tarrafas,2,2,0,0,0,0,0,0,7529,2,0,7527,0,0,0,0
Tauá,40,40,0,0,0,0,0,0,61223,40,0,61183,0,0,0,0
Tejuçuoca,8,8,0,0,0,0,0,0,17154,8,0,17146,0,0,0,0
Tianguá,67,67,0,0,0,0,0,0,81506,67,0,81439,0,0,0,0
Trairi,88,24,64,0,0,0,0,0,58415,24,64,58327,0,0,0,0
Tururu,7,7,0,0,0,0,0,0,15412,7,0,15405,0,0,0,0
Ubajara,21,21,0,0,0,0,0,0,32767,21,0,32746,0,0,0,0
Umari,1,1,0,0,0,0,0,0,6871,1,0,6870,0,0,0,0
Umirim,4,4,0,0,0,0,0,0,17470,4,0,17466,0,0,0,0
Uruburetama,26,26,0,0,0,0,0,0,20189,26,0,20163,0,0,0,0
Uruoca,4,4,0,0,0,0,0,0,13746,4,0,13742,0,0,0,0
Varjota,11,11,0,0,0,0,0,0,18105,11,0,18094,0,0,0,0
Várzea Alegre,2,2,0,0,0,0,0,0,38984,2,0,38982,0,0,0,0
Viçosa do Ceará,106,66,40,0,0,0,0,0,59712,66,40,59606,0,0,0,0
