cod_ibge7,cidade,pct_IDG-Total,Total_total,Total_cor_ou_raca,Total_se_considera,Total_nao_se_declara,EmTI_total,pct_emTI,pct_foraTI,EmTI_cor_ou_raca,EmTI_se_considera,EmTI_nao_se_declara,Pop_total,Pop_cor_ou_raca,Pop_se_considera,Pop_nao_se_declara,Pop_em_TI_total,Pop_em_TI_cor_ou_raca,Pop_em_TI_se_considera,Pop_em_TI_nao_se_declara
2302305,Bela Cruz,0.09,29,29,0,0,0,0.0,100.0,0,0,0,32775,29,0,32746,0,0,0,0
2302404,Boa Viagem,0.94,475,400,75,0,0,0.0,100.0,0,0,0,50411,400,75,49936,0,0,0,0
2302503,Brejo Santo,0.05,26,26,0,0,0,0.0,100.0,0,0,0,51090,26,0,51064,0,0,0,0
2302602,Camocim,0.08,48,48,0,0,0,0.0,100.0,0,0,0,62326,48,0,62278,0,0,0,0
2302701,Campos Sales,0.31,79,15,64,0,0,0.0,100.0,0,0,0,25135,15,64,25056,0,0,0,0
2302800,Canindé,0.77,574,432,142,0,0,0.0,100.0,0,0,0,74174,432,142,73600,0,0,0,0
2302909,Capistrano,0.1,18,9,9,0,0,0.0,100.0,0,0,0,17254,9,9,17236,0,0,0,0
2303006,Caridade,0.07,11,11,0,0,0,0.0,100.0,0,0,0,16377,11,0,16366,0,0,0,0
2303204,Caririaçu,0.08,21,17,4,0,0,0.0,100.0,0,0,0,26320,17,4,26299,0,0,0,0
2303105,Cariré,0.06,10,10,0,0,0,0.0,100.0,0,0,0,17632,10,0,17622,0,0,0,0
2303303,Cariús,0.04,6,6,0,0,0,0.0,100.0,0,0,0,17015,6,0,17009,0,0,0,0
2303402,Carnaubal,5.03,866,744,122,0,0,0.0,100.0,0,0,0,17210,744,122,16344,0,0,0,0
2303501,Cascavel,0.13,96,96,0,0,0,0.0,100.0,0,0,0,72626,96,0,72530,0,0,0,0
2303600,Catarina,0.01,1,1,0,0,0,0.0,100.0,0,0,0,10243,1,0,10242,0,0,0,0
2303659,Catunda,0.66,69,67,2,0,0,0.0,100.0,0,0,0,10444,67,2,10375,0,0,0,0
2303709,Caucaia,4.96,17628,11904,5724,0,5791,32.85,67.15,5010,781,0,355679,11904,5724,338051,10552,5010,781,4761
2303808,Cedro,0.0,0,0,0,0,0,0.0,0.0,0,0,0,22344,0,0,22344,0,0,0,0
2303907,Chaval,0.0,0,0,0,0,0,0.0,0.0,0,0,0,12462,0,0,12462,0,0,0,0
2303956,Chorozinho,0.06,12,12,0,0,0,0.0,100.0,0,0,0,20163,12,0,20151,0,0,0,0
2303931,Choró,0.0,0,0,0,0,0,0.0,0.0,0,0,0,12113,0,0,12113,0,0,0,0
2304004,Coreaú,0.0,1,1,0,0,0,0.0,100.0,0,0,0,20952,1,0,20951,0,0,0,0
2304103,Crateús,4.89,3733,2172,1561,0,0,0.0,100.0,0,0,0,76390,2172,1561,72657,0,0,0,0
2304202,Crato,0.27,353,353,0,0,0,0.0,100.0,0,0,0,131050,353,0,130697,0,0,0,0
2304236,Croatá,0.03,5,5,0,0,0,0.0,100.0,0,0,0,17481,5,0,17476,0,0,0,0
2304251,Cruz,0.09,28,28,0,0,0,0.0,100.0,0,0,0,29628,28,0,29600,0,0,0,0
2304269,Deputado Irapuan Pinheiro,0.0,0,0,0,0,0,0.0,0.0,0,0,0,8932,0,0,8932,0,0,0,0
2304277,Ereré,0.06,4,4,0,0,0,0.0,100.0,0,0,0,6474,4,0,6470,0,0,0,0
2304285,Eusébio,0.07,54,54,0,0,0,0.0,100.0,0,0,0,74170,54,0,74116,0,0,0,0
2304301,Farias Brito,0.04,8,8,0,0,0,0.0,100.0,0,0,0,18217,8,0,18209,0,0,0,0
2304350,Forquilha,0.03,7,7,0,0,0,0.0,100.0,0,0,0,24173,7,0,24166,0,0,0,0
2304400,Fortaleza,0.2,4948,2997,1951,0,0,0.0,100.0,0,0,0,2428678,2997,1951,2423730,0,0,0,0
2304459,Fortim,0.1,17,17,0,0,0,0.0,100.0,0,0,0,17294,17,0,17277,0,0,0,0
2304509,Frecheirinha,0.06,10,10,0,0,0,0.0,100.0,0,0,0,15615,10,0,15605,0,0,0,0
2304608,General Sampaio,0.0,0,0,0,0,0,0.0,0.0,0,0,0,6734,0,0,6734,0,0,0,0
2304707,Granja,0.38,203,29,174,0,0,0.0,100.0,0,0,0,53344,29,174,53141,0,0,0,0
2304806,Granjeiro,0.02,1,1,0,0,0,0.0,100.0,0,0,0,4841,1,0,4840,0,0,0,0
2304657,Graça,0.07,10,10,0,0,0,0.0,100.0,0,0,0,13801,10,0,13791,0,0,0,0
2304905,Groaíras,0.26,28,9,19,0,0,0.0,100.0,0,0,0,10910,9,19,10882,0,0,0,0
2304954,Guaiúba,0.01,2,2,0,0,0,0.0,100.0,0,0,0,24217,2,0,24215,0,0,0,0
2305001,Guaraciaba do Norte,0.4,168,36,132,0,0,0.0,100.0,0,0,0,42053,36,132,41885,0,0,0,0
2305100,Guaramiranga,0.0,0,0,0,0,0,0.0,0.0,0,0,0,5654,0,0,5654,0,0,0,0
2305209,Hidrolândia,0.03,6,4,2,0,0,0.0,100.0,0,0,0,17855,4,2,17849,0,0,0,0
2305233,Horizonte,0.17,128,98,30,0,0,0.0,100.0,0,0,0,74754,98,30,74626,0,0,0,0
2305266,Ibaretama,0.0,0,0,0,0,0,0.0,0.0,0,0,0,11956,0,0,11956,0,0,0,0
2305308,Ibiapina,0.03,7,7,0,0,0,0.0,100.0,0,0,0,23965,7,0,23958,0,0,0,0
2305332,Ibicuitinga,0.05,6,6,0,0,0,0.0,100.0,0,0,0,11611,6,0,11605,0,0,0,0
2305357,Icapuí,0.03,6,6,0,0,0,0.0,100.0,0,0,0,21433,6,0,21427,0,0,0,0
2305407,Icó,0.03,17,5,12,0,0,0.0,100.0,0,0,0,62622,5,12,62605,0,0,0,0
2305506,Iguatu,0.12,114,114,0,0,0,0.0,100.0,0,0,0,98064,114,0,97950,0,0,0,0
2305605,Independência,0.08,19,19,0,0,0,0.0,100.0,0,0,0,24024,19,0,24005,0,0,0,0
2305654,Ipaporanga,0.04,5,5,0,0,0,0.0,100.0,0,0,0,11575,5,0,11570,0,0,0,0
2305704,Ipaumirim,0.01,1,1,0,0,0,0.0,100.0,0,0,0,12083,1,0,12082,0,0,0,0
2305803,Ipu,0.07,29,29,0,0,0,0.0,100.0,0,0,0,41081,29,0,41052,0,0,0,0
2305902,Ipueiras,0.17,62,62,0,0,0,0.0,100.0,0,0,0,36798,62,0,36736,0,0,0,0
2306009,Iracema,0.04,6,6,0,0,0,0.0,100.0,0,0,0,14001,6,0,13995,0,0,0,0
2306108,Irauçuba,0.03,6,6,0,0,0,0.0,100.0,0,0,0,23915,6,0,23909,0,0,0,0
2306256,Itaitinga,0.09,56,56,0,0,0,0.0,100.0,0,0,0,64648,56,0,64592,0,0,0,0
2306207,Itaiçaba,0.04,3,3,0,0,0,0.0,100.0,0,0,0,7536,3,0,7533,0,0,0,0
2306306,Itapajé,0.04,18,18,0,0,0,0.0,100.0,0,0,0,46426,18,0,46408,0,0,0,0
2306405,Itapipoca,0.57,745,629,116,0,542,72.75,27.25,540,2,0,131123,629,116,130378,980,540,2,438
2306504,Itapiúna,0.01,1,1,0,0,0,0.0,100.0,0,0,0,17841,1,0,17840,0,0,0,0
2306553,Itarema,11.97,5115,3683,1432,0,508,9.93,90.07,508,0,0,42726,3683,1432,37611,510,508,0,2
2306603,Itatira,0.03,7,3,4,0,0,0.0,100.0,0,0,0,20424,3,4,20417,0,0,0,0
2306702,Jaguaretama,0.02,3,3,0,0,0,0.0,100.0,0,0,0,17232,3,0,17229,0,0,0,0
2306801,Jaguaribara,0.07,7,7,0,0,0,0.0,100.0,0,0,0,10356,7,0,10349,0,0,0,0
