lat,lng,nome_ti,FASE,pop_idg_2022,pop_idg_2010,crescimento_2010_2022,var_pct
-23.945072766284035,-55.374755323586896,Potrero Guaçu,Declarada,916.0,725.0,191.0,26.34
-22.52565748505414,-54.624791699215216,Guyraroká,Declarada,87.0,525.0,-438.0,-83.43
-22.73752612193372,-54.624494101587544,Taquara,Declarada,238.0,288.0,-50.0,-17.36
-13.564964282251655,-57.3493670459991,Ponte de Pedra,Declarada,,234.0,,
-14.349567392694036,-59.32454042773405,Uirapuru,Declarada,42.0,238.0,-196.0,-82.35
-16.14976433333254,-59.47867601786018,Portal do Encantado,Declarada,197.0,1046.0,-849.0,-81.17
-16.966105812620988,-56.557853967896044,Baía dos Guató,Homologada,121.0,,,
-9.000550284133569,-59.96387914806435,Kawahiva do Rio Pardo (1),Declarada,,,,
-12.929742882129394,-52.838530265180566,Pequizal do Naruvôtu,Regularizada,35.0,1112.0,-1077.0,-96.85
-11.359623505846676,-50.80337042089545,Cacique Fontoura,Declarada,,0.0,,
-11.051939283937326,-51.47455006955369,Krenrehé,Regularizada,14.0,41.0,-27.0,-65.85
-3.938987967513597,-38.63464328611196,Pitaguary,Declarada,2942.0,2579.0,363.0,14.08
-3.105148980384184,-39.96187784936216,Córrego João Pereira,Regularizada,619.0,409.0,210.0,51.34
-3.982794687615897,-38.27198300470334,Lagoa Encantada (1),Declarada,340.0,,,
-26.46184648803331,-48.70300522977777,Tarumã (1),Declarada,41.0,,,
-24.2321817181716,-46.940477284074476,Piaçaguera (1),Regularizada,309.0,,,
-4.748239457499799,-48.95697639092238,Nova Jacundá,Regularizada,66.0,110.0,-44.0,-40.0
-14.931404100554424,-44.12416388034339,Xakriabá Rancharia,Regularizada,952.0,820.0,132.0,16.1
-17.560947861059027,-41.269884963075945,Mundo Verde/Cachoeirinha,Regularizada,33.0,,,
-17.6408100165184,-41.6695070600639,Hãm Yîxux,Regularizada,164.0,,,
-9.084620119640102,-72.87735626484742,Arara do Rio Amônia,Declarada,429.0,346.0,83.0,23.99
-25.21758951046547,-52.34848696474101,Boa Vista - PR,Declarada,72.0,116.0,-44.0,-37.93
-20.36752923416707,-56.13494967447085,Nossa Senhora de Fátima,Regularizada,,0.0,,
-9.70677680357519,-53.83036944831525,Terena Gleba Iriri,Regularizada,181.0,0.0,181.0,
-3.6041263806008224,-51.68119091678331,Arara da Volta Grande do Xingu,Regularizada,234.0,243.0,-9.0,-3.7
-10.63205781542547,-38.732099744383426,Fazenda Sítio,Regularizada,86.0,,,
-8.425159427866275,-36.83122538919373,Xukuru de Cimbres,Regularizada,115.0,10.0,105.0,1050.0
-12.349009308343488,-43.32282973740332,Fazenda Remanso,Regularizada,46.0,0.0,46.0,
