,dtg,Ano,Mês,Dia,UF,Local,latitude,longitude,Magnitude,Obs
20,2023-04-20,2023,4,20,RN,Costa do Atlântico,-5.51,-35.06,1.8,Magnitude não revisada/preliminar
21,2023-04-16,2023,4,16,BA,Lafaiete Coutinho,-13.63,-40.26,1.9,Magnitude não revisada/preliminar
22,2023-04-16,2023,4,16,BA,Jacobina,-11.3,-40.51,1.6,Magnitude não revisada/preliminar
23,2023-04-14,2023,4,14,CE,Alcântaras,-3.55,-40.55,1.9,Magnitude não revisada/preliminar
24,2023-04-13,2023,4,13,PE,Lagoa Grande,-8.29,-40.19,2.1,Magnitude não revisada/preliminar
25,2023-04-13,2023,4,13,PE,Lagoa Grande,-8.94,-40.24,2.2,Magnitude não revisada/preliminar
26,2023-04-12,2023,4,12,PE,Trindade,-7.72,-40.22,2.0,Magnitude não revisada/preliminar
27,2023-04-12,2023,4,12,BA,São Miguel das Matas,-13.09,-39.44,1.6,Magnitude não revisada/preliminar
28,2023-04-09,2023,4,9,CE,Alcântaras,-3.57,-40.54,2.0,Magnitude não revisada/preliminar
29,2023-04-07,2023,4,7,CE,Beberibe,-4.23,-38.14,1.7,Magnitude não revisada/preliminar
30,2023-04-07,2023,4,7,CE,Beberibe,-4.22,-38.13,1.5,Magnitude não revisada/preliminar
31,2023-04-07,2023,4,7,BA,Jaguarari,-9.87,-39.94,1.6,Magnitude não revisada/preliminar
32,2023-04-06,2023,4,6,PE,Bezerros,-8.27,-35.83,1.7,Magnitude não revisada/preliminar
33,2023-04-01,2023,4,1,PB,Mamanguape,-6.83,-35.12,1.7,Magnitude não revisada/preliminar
34,2023-04-01,2023,4,1,BA,Aiquara,-14.09,-39.83,2.0,Magnitude não revisada/preliminar
2,2023-03-31,2023,3,31,BA,Palmeiras,-12.51,-41.65,2.1,Magnitude não revisada/preliminar
3,2023-03-30,2023,3,30,PE,São João,-8.82,-36.36,2.4,Magnitude não revisada/preliminar
4,2023-03-29,2023,3,29,BA,Jaguarari,-9.89,-39.97,1.6,Magnitude não revisada/preliminar
5,2023-03-29,2023,3,29,BA,Jacobina,-11.27,-40.53,1.7,Magnitude não revisada/preliminar
6,2023-03-29,2023,3,29,BA,Ruy Barbosa,-12.13,-40.63,1.8,Magnitude não revisada/preliminar
7,2023-03-28,2023,3,28,SE,Arapiraca,-9.72,-36.72,2.2,Magnitude não revisada/preliminar
8,2023-03-28,2023,3,28,CE,Coreaú,-3.56,-40.87,1.9,Magnitude não revisada/preliminar
9,2023-03-27,2023,3,27,BA,Jacobina,-11.21,-40.52,1.9,Magnitude não revisada/preliminar
10,2023-03-25,2023,3,25,BA,Jequié,-13.72,-40.34,2.2,Magnitude não revisada/preliminar
11,2023-03-24,2023,3,24,BA,Piatã,-13.1,-41.98,2.1,Magnitude não revisada/preliminar
12,2023-03-23,2023,3,23,SE,Canindé de São Francisco,-9.54,-37.99,1.7,Magnitude não revisada/preliminar
13,2023-03-20,2023,3,20,BA,Costa do Recôncavo Baiano,-13.42,-38.81,2.8,Magnitude não revisada/preliminar
14,2023-03-20,2023,3,20,RN,Caraúbas,-5.76,-37.61,1.5,Magnitude não revisada/preliminar
15,2023-03-19,2023,3,19,BA,Jacobina,-11.31,-40.54,1.6,Magnitude não revisada/preliminar
16,2023-03-19,2023,3,19,BA,Piatã,-13.12,-41.9,2.8,Magnitude não revisada/preliminar
17,2023-03-19,2023,3,19,MA,Cantanheda,-3.55,-44.12,2.6,Magnitude não revisada/preliminar
18,2023-03-17,2023,3,17,SE,Canindé de São Francisco,-9.64,-37.84,1.1,Magnitude não revisada/preliminar
19,2023-03-17,2023,3,17,CE,Alcântaras,-3.63,-40.49,1.6,Magnitude não revisada/preliminar
20,2023-03-17,2023,3,17,CE,Senador Sá,-3.3,-40.48,1.7,Magnitude não revisada/preliminar
21,2023-03-12,2023,3,12,BA,Jacobina,-11.26,-40.52,1.6,Magnitude não revisada/preliminar
22,2023-03-11,2023,3,11,CE,Itapajé,-3.81,-39.49,2.5,Magnitude não revisada/preliminar
23,2023-03-10,2023,3,10,BA,Nordestina,-10.85,-39.42,2.3,Magnitude não revisada/preliminar
24,2023-03-10,2023,3,10,AL,Arapiraca,-9.74,-36.68,2.4,Magnitude não revisada/preliminar
25,2023-03-08,2023,3,8,PE,Caruaru,-8.3,-36.03,1.7,Magnitude não revisada/preliminar
26,2023-03-07,2023,3,7,CE,Alcântaras,-3.55,-40.54,1.8,Magnitude não revisada/preliminar
27,2023-03-01,2023,3,1,CE,Alcântaras,-3.54,-40.54,2.3,Magnitude não revisada/preliminar
2,2023-02-28,2023,2,28,BA,Ipiaú,-14.09,-39.79,1.9,Magnitude não revisada/preliminar
3,2023-02-28,2023,2,28,CE,Alcântaras,-3.57,-40.53,1.5,Magnitude não revisada/preliminar
4,2023-02-27,2023,2,27,BA,São Félix do Coribe,-13.48,-44.22,3.5,Magnitude não revisada/preliminar
5,2023-02-27,2023,2,27,CE,Alcântaras,-3.57,-40.49,2.0,Magnitude não revisada/preliminar
6,2023-02-26,2023,2,26,BA,Camaçari,-12.81,-38.26,2.1,Magnitude não revisada/preliminar
7,2023-02-24,2023,2,24,BA,Nordestina,-10.92,-39.29,1.8,Magnitude não revisada/preliminar
8,2023-02-24,2023,2,24,AL,Craíbas,-9.71,-36.68,1.6,Magnitude não revisada/preliminar
9,2023-02-24,2023,2,24,RN,Caraúbas,-5.76,-37.57,1.5,Magnitude não revisada/preliminar
10,2023-02-24,2023,2,24,BA,Curaçá,-9.25,-39.86,1.6,Magnitude não revisada/preliminar
11,2023-02-24,2023,2,24,BA,Araci,-11.43,-39.12,1.7,Magnitude não revisada/preliminar
12,2023-02-24,2023,2,24,BA,Jacobina,-11.23,-40.53,2.5,Magnitude não revisada/preliminar
13,2023-02-21,2023,2,21,BA,Maraú,-14.11,-38.99,2.1,Magnitude não revisada/preliminar
14,2023-02-21,2023,2,21,BA,Maraú,-14.14,-38.08,2.0,Magnitude não revisada/preliminar
15,2023-02-21,2023,2,21,BA,Maraú - litoral,-14.1,-38.91,2.0,Magnitude não revisada/preliminar
